WFE,,comments
Name,MKT_WFE1_3,Artwork Final Submission
Sub Workflow,MKT,
Communication pref,COEp_XXX; NPDp_XXX; PKGp_XXX; LGLp_XXX,
Skip,N,
Status,Not Started ,
Next WFE,MKT_WFE1_4,
previous WFE,MKT_WFE1_2,
,,
ARTWORK SUBMISSION form start,,
TASK:Final Art Work Submission ::: 10,,
ARTWORK SUBMISSION form end,,
WFE end,,
,,
Forms body,,
ARTWORK SUBMISSION form body start,,
CHECK_BOX:M:I:Artwork approved by all departments?,N,
SPINNER:M:I:Artwork Status:In Progress;Cut 1;Cut 2;Cut 3,Cut 1,
UPLOAD_FILE_IMAGE:M:I: Artwork File Cut 1,,
UPLOAD_FILE_IMAGE:M:I: Artwork File Cut 2,,
UPLOAD_FILE_IMAGE:M:I: Artwork File Cut 3,,
EDIT_TEXT:O:I:Comments,,
ARTWORK SUBMISSION form body end,,
Forms body end,,
